"","Area","Element","Item","Value"
"4901","LATIN AMER. & CARIB","Import Quantity","Paper",526
"4903","LATIN AMER. & CARIB","Import Quantity","Newsprint",1753
"4904","LATIN AMER. & CARIB","Export Quantity","Newsprint",2
"4905","LATIN AMER. & CARIB","Import Quantity","Paper",928
"4906","LATIN AMER. & CARIB","Export Quantity","Paper",5
"4907","LATIN AMER. & CARIB","Import Quantity","Paper",112
"4908","LATIN AMER. & CARIB","Import Quantity","Paper",652
"4909","LATIN AMER. & CARIB","Export Quantity","Paper",4
"4910","LATIN AMER. & CARIB","Import Quantity","Paper",164
"4911","LATIN AMER. & CARIB","Export Quantity","Paper",1
"4912","LATIN AMER. & CARIB","Import Quantity","Paper",1912
"4913","LATIN AMER. & CARIB","Export Quantity","Paper",200
"4914","LATIN AMER. & CARIB","Import Quantity","Paper",297
"4915","LATIN AMER. & CARIB","Import Quantity","Paper",1561
"4916","LATIN AMER. & CARIB","Export Quantity","Paper",194
"4917","LATIN AMER. & CARIB","Import Quantity","Case materials",1461
"4918","LATIN AMER. & CARIB","Export Quantity","Case materials",5
"4919","LATIN AMER. & CARIB","Import Quantity","Cartonboard",44
"4920","LATIN AMER. & CARIB","Export Quantity","Cartonboard",1
"4921","LATIN AMER. & CARIB","Import Quantity","Paper",47
"4922","LATIN AMER. & CARIB","Export Quantity","Paper",2
"4923","LATIN AMER. & CARIB","Import Quantity","Paper",9
"4924","LATIN AMER. & CARIB","Export Quantity","Paper",186
"4925","LATIN AMER. & CARIB","Import Quantity","Paper",54
"4926","LATIN AMER. & CARIB","Export Quantity","Paper",6
"4927","LATIN AMER. & CARIB","Production","Wood fuel",167929
"4928","LATIN AMER. & CARIB","Production","Wood fuel",1931025
"4929","LATIN AMER. & CARIB","Import Quantity","Wood fuel",6
"4930","LATIN AMER. & CARIB","Import Quantity","Roundwood",566
"4932","LATIN AMER. & CARIB","Import Quantity","Roundwood",4549
"4934","LATIN AMER. & CARIB","Import Quantity","Roundwood",630
"4936","LATIN AMER. & CARIB","Production","Sawlogs and veneer logs",1e+05
"4937","LATIN AMER. & CARIB","Production","Sawlogs and veneer logs",124000
"4938","LATIN AMER. & CARIB","Production","Roundwood",15000
"4939","LATIN AMER. & CARIB","Production","Wood fuel",35555
"4940","LATIN AMER. & CARIB","Import Quantity","Wood fuel",37
"4941","LATIN AMER. & CARIB","Export Quantity","Wood fuel",2
"4942","LATIN AMER. & CARIB","Import Quantity","Wood chips and particles",8
"4944","LATIN AMER. & CARIB","Import Quantity","Wood residues",3.82
"4945","LATIN AMER. & CARIB","Production","Sawnwood",7900
"4946","LATIN AMER. & CARIB","Import Quantity","Sawnwood",51611
"4947","LATIN AMER. & CARIB","Production","Sawnwood",5900
"4948","LATIN AMER. & CARIB","Import Quantity","Sawnwood",1984
"4950","LATIN AMER. & CARIB","Import Quantity","Veneer sheets",37
"4951","LATIN AMER. & CARIB","Import Quantity","Plywood",1491
"4952","LATIN AMER. & CARIB","Export Quantity","Plywood",1
"4953","LATIN AMER. & CARIB","Import Quantity","Particle board",4
"4955","LATIN AMER. & CARIB","Import Quantity","Hardboard",3691
"4956","LATIN AMER. & CARIB","Import Quantity","MDF/HDF",27
"4957","LATIN AMER. & CARIB","Import Quantity","Other fibreboard",6
"4958","LATIN AMER. & CARIB","Import Quantity","Wood pulp",20
"4959","LATIN AMER. & CARIB","Import Quantity","Wood pulp",1302
"4960","LATIN AMER. & CARIB","Import Quantity","Wood pulp",11
"4963","LATIN AMER. & CARIB","Import Quantity","Wood pulp",11
"4965","LATIN AMER. & CARIB","Import Quantity","Paper",36
"4966","LATIN AMER. & CARIB","Export Quantity","Paper",509
"4967","LATIN AMER. & CARIB","Import Quantity","Newsprint",1441
"4968","LATIN AMER. & CARIB","Import Quantity","Paper",303
"4970","LATIN AMER. & CARIB","Import Quantity","Paper",23
"4971","LATIN AMER. & CARIB","Import Quantity","Paper",26
"4973","LATIN AMER. & CARIB","Import Quantity","Paper",254
"4975","LATIN AMER. & CARIB","Import Quantity","Paper",2951
"4977","LATIN AMER. & CARIB","Import Quantity","Paper",163
"4978","LATIN AMER. & CARIB","Import Quantity","Paper",2637
"4980","LATIN AMER. & CARIB","Import Quantity","Case materials",1686
"4981","LATIN AMER. & CARIB","Import Quantity","Cartonboard",156
"4982","LATIN AMER. & CARIB","Import Quantity","Paper",785
"4984","LATIN AMER. & CARIB","Import Quantity","Paper",10
"4985","LATIN AMER. & CARIB","Import Quantity","Paper",151
"4987","LATIN AMER. & CARIB","Production","Wood fuel",2751512
"4988","LATIN AMER. & CARIB","Production","Wood fuel",5589526
"4990","LATIN AMER. & CARIB","Export Quantity","Wood fuel",5617
"4991","LATIN AMER. & CARIB","Import Quantity","Roundwood",890
"4992","LATIN AMER. & CARIB","Export Quantity","Roundwood",26
"4993","LATIN AMER. & CARIB","Import Quantity","Roundwood",165
"4994","LATIN AMER. & CARIB","Export Quantity","Roundwood",711
"4997","LATIN AMER. & CARIB","Production","Sawlogs and veneer logs",267472
"4998","LATIN AMER. & CARIB","Production","Sawlogs and veneer logs",6146
"4999","LATIN AMER. & CARIB","Production","Roundwood",40116
"5001","LATIN AMER. & CARIB","Production","Wood fuel",21000
"5002","LATIN AMER. & CARIB","Import Quantity","Wood fuel",26
"5004","LATIN AMER. & CARIB","Production","Wood chips and particles",2556
"5005","LATIN AMER. & CARIB","Import Quantity","Wood chips and particles",334
"5006","LATIN AMER. & CARIB","Export Quantity","Wood chips and particles",1513
"5007","LATIN AMER. & CARIB","Production","Wood residues",208000
"5008","LATIN AMER. & CARIB","Import Quantity","Wood residues",882
"5009","LATIN AMER. & CARIB","Export Quantity","Wood residues",1773
"5010","LATIN AMER. & CARIB","Production","Wood fuel",9393
"5011","LATIN AMER. & CARIB","Import Quantity","Wood fuel",617
"5013","LATIN AMER. & CARIB","Production","Other agglomerates",690
"5014","LATIN AMER. & CARIB","Production","Sawnwood",295207
"5015","LATIN AMER. & CARIB","Import Quantity","Sawnwood",6065
"5016","LATIN AMER. & CARIB","Export Quantity","Sawnwood",158000
"5017","LATIN AMER. & CARIB","Production","Sawnwood",6146
"5018","LATIN AMER. & CARIB","Import Quantity","Sawnwood",6929
"5019","LATIN AMER. & CARIB","Export Quantity","Sawnwood",1326
"5020","LATIN AMER. & CARIB","Production","Veneer sheets",1000
"5021","LATIN AMER. & CARIB","Import Quantity","Veneer sheets",505
"5022","LATIN AMER. & CARIB","Export Quantity","Veneer sheets",8
"5023","LATIN AMER. & CARIB","Production","Plywood",196018
"5024","LATIN AMER. & CARIB","Import Quantity","Plywood",6144
"5025","LATIN AMER. & CARIB","Export Quantity","Plywood",21341
"5026","LATIN AMER. & CARIB","Import Quantity","Particle board",194
"5028","LATIN AMER. & CARIB","Import Quantity","OSB",263
"5029","LATIN AMER. & CARIB","Import Quantity","Hardboard",2635
"5030","LATIN AMER. & CARIB","Export Quantity","Hardboard",58
"5031","LATIN AMER. & CARIB","Import Quantity","MDF/HDF",9842
"5032","LATIN AMER. & CARIB","Export Quantity","MDF/HDF",6
"5033","LATIN AMER. & CARIB","Import Quantity","Other fibreboard",1384
"5036","LATIN AMER. & CARIB","Import Quantity","Wood pulp",1
"5040","LATIN AMER. & CARIB","Import Quantity","Wood pulp",91
"5042","LATIN AMER. & CARIB","Import Quantity","Wood pulp",49
"5044","LATIN AMER. & CARIB","Import Quantity","Wood pulp",42
"5052","LATIN AMER. & CARIB","Import Quantity","Pulp from fibres other than wood",9
"5054","LATIN AMER. & CARIB","Production","Paper",53745
"5055","LATIN AMER. & CARIB","Import Quantity","Paper",4366
"5056","LATIN AMER. & CARIB","Export Quantity","Paper",48473
"5058","LATIN AMER. & CARIB","Import Quantity","Newsprint",8541
"5059","LATIN AMER. & CARIB","Export Quantity","Newsprint",21
"5060","LATIN AMER. & CARIB","Production","Paper",13000
"5061","LATIN AMER. & CARIB","Import Quantity","Paper",25071
"5062","LATIN AMER. & CARIB","Export Quantity","Paper",2693
"5063","LATIN AMER. & CARIB","Import Quantity","Paper",535
"5065","LATIN AMER. & CARIB","Import Quantity","Paper",20931
"5066","LATIN AMER. & CARIB","Export Quantity","Paper",2471
"5067","LATIN AMER. & CARIB","Import Quantity","Paper",3605
"5068","LATIN AMER. & CARIB","Export Quantity","Paper",222
"5069","LATIN AMER. & CARIB","Production","Paper",62000
"5070","LATIN AMER. & CARIB","Import Quantity","Paper",129291
"5071","LATIN AMER. & CARIB","Export Quantity","Paper",78547
"5073","LATIN AMER. & CARIB","Import Quantity","Paper",310
"5074","LATIN AMER. & CARIB","Export Quantity","Paper",22
"5075","LATIN AMER. & CARIB","Production","Paper",62000
"5076","LATIN AMER. & CARIB","Import Quantity","Paper",112910
"5077","LATIN AMER. & CARIB","Export Quantity","Paper",78498
"5078","LATIN AMER. & CARIB","Import Quantity","Case materials",43628
"5079","LATIN AMER. & CARIB","Export Quantity","Case materials",40482
"5080","LATIN AMER. & CARIB","Import Quantity","Cartonboard",61634
"5081","LATIN AMER. & CARIB","Export Quantity","Cartonboard",37335
"5082","LATIN AMER. & CARIB","Import Quantity","Paper",7549
"5083","LATIN AMER. & CARIB","Export Quantity","Paper",568
"5084","LATIN AMER. & CARIB","Import Quantity","Paper",99
"5085","LATIN AMER. & CARIB","Export Quantity","Paper",113
"5087","LATIN AMER. & CARIB","Import Quantity","Paper",16071
"5088","LATIN AMER. & CARIB","Export Quantity","Paper",27
"5089","EASTERN EUROPE","Production","Wood fuel",148757
"5090","EASTERN EUROPE","Production","Wood fuel",2487393
"5091","EASTERN EUROPE","Import Quantity","Wood fuel",165754
"5092","EASTERN EUROPE","Export Quantity","Wood fuel",272965
"5093","EASTERN EUROPE","Import Quantity","Roundwood",131999
"5094","EASTERN EUROPE","Export Quantity","Roundwood",346562
"5095","EASTERN EUROPE","Import Quantity","Roundwood",7
"5096","EASTERN EUROPE","Export Quantity","Roundwood",3
"5097","EASTERN EUROPE","Import Quantity","Roundwood",183029
"5098","EASTERN EUROPE","Export Quantity","Roundwood",336883
"5099","EASTERN EUROPE","Production","Sawlogs and veneer logs",153980
"5100","EASTERN EUROPE","Production","Sawlogs and veneer logs",975648
"5101","EASTERN EUROPE","Production","Pulpwood",470688
"5102","EASTERN EUROPE","Production","Pulpwood",478167
"5103","EASTERN EUROPE","Production","Roundwood",229405
"5104","EASTERN EUROPE","Production","Roundwood",642131
"5106","EASTERN EUROPE","Import Quantity","Wood fuel",1834
"5107","EASTERN EUROPE","Export Quantity","Wood fuel",41
"5108","EASTERN EUROPE","Production","Wood chips and particles",724380
"5109","EASTERN EUROPE","Import Quantity","Wood chips and particles",267345
"5110","EASTERN EUROPE","Export Quantity","Wood chips and particles",155956
"5112","EASTERN EUROPE","Import Quantity","Wood residues",215111
"5113","EASTERN EUROPE","Export Quantity","Wood residues",86634
"5114","EASTERN EUROPE","Production","Wood fuel",2390
"5115","EASTERN EUROPE","Import Quantity","Wood fuel",13457
"5116","EASTERN EUROPE","Export Quantity","Wood fuel",7814
"5117","EASTERN EUROPE","Production","Other agglomerates",2801
"5118","EASTERN EUROPE","Import Quantity","Other agglomerates",17253
"5119","EASTERN EUROPE","Export Quantity","Other agglomerates",2229
"5120","EASTERN EUROPE","Production","Sawnwood",141416
"5121","EASTERN EUROPE","Import Quantity","Sawnwood",650115
"5122","EASTERN EUROPE","Export Quantity","Sawnwood",19894
"5123","EASTERN EUROPE","Production","Sawnwood",376307
"5124","EASTERN EUROPE","Import Quantity","Sawnwood",68153
"5125","EASTERN EUROPE","Export Quantity","Sawnwood",176907
"5126","EASTERN EUROPE","Production","Veneer sheets",32320
"5127","EASTERN EUROPE","Import Quantity","Veneer sheets",53788
"5128","EASTERN EUROPE","Export Quantity","Veneer sheets",34720
"5129","EASTERN EUROPE","Production","Plywood",48800
"5130","EASTERN EUROPE","Import Quantity","Plywood",76090
"5131","EASTERN EUROPE","Export Quantity","Plywood",55445
"5132","EASTERN EUROPE","Production","Particle board",388514
"5133","EASTERN EUROPE","Import Quantity","Particle board",340698
"5134","EASTERN EUROPE","Export Quantity","Particle board",334875
"5136","EASTERN EUROPE","Import Quantity","OSB",79846
"5137","EASTERN EUROPE","Export Quantity","OSB",35773
"5138","EASTERN EUROPE","Production","Hardboard",3000
"5139","EASTERN EUROPE","Import Quantity","Hardboard",29960
"5140","EASTERN EUROPE","Export Quantity","Hardboard",10691
"5141","EASTERN EUROPE","Production","MDF/HDF",336000
"5142","EASTERN EUROPE","Import Quantity","MDF/HDF",111804
"5143","EASTERN EUROPE","Export Quantity","MDF/HDF",166921
"5144","EASTERN EUROPE","Production","Other fibreboard",15715
"5145","EASTERN EUROPE","Import Quantity","Other fibreboard",24398
"5146","EASTERN EUROPE","Export Quantity","Other fibreboard",6640
"5148","EASTERN EUROPE","Import Quantity","Wood pulp",464
"5149","EASTERN EUROPE","Export Quantity","Wood pulp",23
"5151","EASTERN EUROPE","Import Quantity","Wood pulp",12397
"5152","EASTERN EUROPE","Export Quantity","Wood pulp",7
"5154","EASTERN EUROPE","Import Quantity","Wood pulp",117495
"5155","EASTERN EUROPE","Export Quantity","Wood pulp",36
"5160","EASTERN EUROPE","Import Quantity","Wood pulp",116589
"5166","EASTERN EUROPE","Import Quantity","Wood pulp",906
"5167","EASTERN EUROPE","Export Quantity","Wood pulp",36
"5168","EASTERN EUROPE","Production","Wood pulp",22407
"5169","EASTERN EUROPE","Import Quantity","Wood pulp",3
"5172","EASTERN EUROPE","Import Quantity","Pulp from fibres other than wood",850
"5173","EASTERN EUROPE","Export Quantity","Pulp from fibres other than wood",18862
"5175","EASTERN EUROPE","Import Quantity","Paper",446227
"5176","EASTERN EUROPE","Export Quantity","Paper",213540
"5178","EASTERN EUROPE","Import Quantity","Newsprint",90267
"5179","EASTERN EUROPE","Export Quantity","Newsprint",21
"5181","EASTERN EUROPE","Import Quantity","Paper",239541
"5182","EASTERN EUROPE","Export Quantity","Paper",8410
"5184","EASTERN EUROPE","Import Quantity","Paper",36661
"5185","EASTERN EUROPE","Export Quantity","Paper",79
"5187","EASTERN EUROPE","Import Quantity","Paper",101262
"5188","EASTERN EUROPE","Export Quantity","Paper",7199
"5190","EASTERN EUROPE","Import Quantity","Paper",101618
"5191","EASTERN EUROPE","Export Quantity","Paper",1132
"5192","EASTERN EUROPE","Production","Paper",822639
"5193","EASTERN EUROPE","Import Quantity","Paper",503413
"5194","EASTERN EUROPE","Export Quantity","Paper",720314
"5196","EASTERN EUROPE","Import Quantity","Paper",69666
"5197","EASTERN EUROPE","Export Quantity","Paper",11978
"5198","EASTERN EUROPE","Production","Paper",822639
"5199","EASTERN EUROPE","Import Quantity","Paper",430531
"5200","EASTERN EUROPE","Export Quantity","Paper",707591
"5201","EASTERN EUROPE","Production","Case materials",727307
"5202","EASTERN EUROPE","Import Quantity","Case materials",185494
"5203","EASTERN EUROPE","Export Quantity","Case materials",534313
"5205","EASTERN EUROPE","Import Quantity","Cartonboard",135486
"5206","EASTERN EUROPE","Export Quantity","Cartonboard",54188
"5207","EASTERN EUROPE","Production","Paper",95332
"5208","EASTERN EUROPE","Import Quantity","Paper",85535
"5209","EASTERN EUROPE","Export Quantity","Paper",118671
"5211","EASTERN EUROPE","Import Quantity","Paper",24016
"5212","EASTERN EUROPE","Export Quantity","Paper",419
"5214","EASTERN EUROPE","Import Quantity","Paper",3216
"5215","EASTERN EUROPE","Export Quantity","Paper",745
"5216","ASIA (EX. NEAR EAST)","Production","Wood fuel",9188301
"5217","ASIA (EX. NEAR EAST)","Production","Wood fuel",296346008
"5218","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",2794
"5219","ASIA (EX. NEAR EAST)","Export Quantity","Wood fuel",53
"5220","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",1822000
"5221","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",220
"5222","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",3110000
"5223","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",27000
"5224","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",577000
"5226","ASIA (EX. NEAR EAST)","Production","Sawlogs and veneer logs",5754000
"5227","ASIA (EX. NEAR EAST)","Production","Sawlogs and veneer logs",42050000
"5228","ASIA (EX. NEAR EAST)","Production","Pulpwood",297000
"5229","ASIA (EX. NEAR EAST)","Production","Pulpwood",1035000
"5230","ASIA (EX. NEAR EAST)","Production","Roundwood",97000
"5231","ASIA (EX. NEAR EAST)","Production","Roundwood",284000
"5232","ASIA (EX. NEAR EAST)","Production","Wood fuel",2880000
"5233","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",3640
"5234","ASIA (EX. NEAR EAST)","Export Quantity","Wood fuel",31536
"5235","ASIA (EX. NEAR EAST)","Import Quantity","Wood chips and particles",332270
"5236","ASIA (EX. NEAR EAST)","Export Quantity","Wood chips and particles",70
"5237","ASIA (EX. NEAR EAST)","Import Quantity","Wood residues",15255
"5238","ASIA (EX. NEAR EAST)","Export Quantity","Wood residues",104
"5239","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",306
"5241","ASIA (EX. NEAR EAST)","Production","Sawnwood",2e+06
"5242","ASIA (EX. NEAR EAST)","Import Quantity","Sawnwood",346000
"5243","ASIA (EX. NEAR EAST)","Export Quantity","Sawnwood",194
"5244","ASIA (EX. NEAR EAST)","Production","Sawnwood",4889000
"5245","ASIA (EX. NEAR EAST)","Import Quantity","Sawnwood",347000
"5246","ASIA (EX. NEAR EAST)","Export Quantity","Sawnwood",11770
"5247","ASIA (EX. NEAR EAST)","Production","Veneer sheets",295000
"5248","ASIA (EX. NEAR EAST)","Import Quantity","Veneer sheets",430000
"5249","ASIA (EX. NEAR EAST)","Export Quantity","Veneer sheets",4711
"5250","ASIA (EX. NEAR EAST)","Production","Plywood",2521000
"5251","ASIA (EX. NEAR EAST)","Import Quantity","Plywood",106000
"5252","ASIA (EX. NEAR EAST)","Export Quantity","Plywood",44926
"5253","ASIA (EX. NEAR EAST)","Production","Particle board",23500
"5254","ASIA (EX. NEAR EAST)","Import Quantity","Particle board",193532
"5255","ASIA (EX. NEAR EAST)","Export Quantity","Particle board",3045
"5256","ASIA (EX. NEAR EAST)","Import Quantity","OSB",4414
"5258","ASIA (EX. NEAR EAST)","Production","Hardboard",83200
"5259","ASIA (EX. NEAR EAST)","Import Quantity","Hardboard",37236
"5260","ASIA (EX. NEAR EAST)","Export Quantity","Hardboard",845
"5261","ASIA (EX. NEAR EAST)","Production","MDF/HDF",2e+05
"5262","ASIA (EX. NEAR EAST)","Import Quantity","MDF/HDF",164454
"5263","ASIA (EX. NEAR EAST)","Export Quantity","MDF/HDF",4431
"5264","ASIA (EX. NEAR EAST)","Production","Other fibreboard",3000
"5265","ASIA (EX. NEAR EAST)","Import Quantity","Other fibreboard",9088
"5266","ASIA (EX. NEAR EAST)","Export Quantity","Other fibreboard",12483
"5267","ASIA (EX. NEAR EAST)","Production","Wood pulp",504000
"5268","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",1099
"5269","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",1
"5270","ASIA (EX. NEAR EAST)","Production","Wood pulp",168000
"5271","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",143595
"5273","ASIA (EX. NEAR EAST)","Production","Wood pulp",2434800
"5274","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",782661
"5275","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",11029
"5276","ASIA (EX. NEAR EAST)","Production","Wood pulp",204300
"5277","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",40437
"5278","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",4419
"5279","ASIA (EX. NEAR EAST)","Production","Wood pulp",2210000
"5280","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",741065
"5281","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",5246
"5282","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",941
"5283","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",1364
"5284","ASIA (EX. NEAR EAST)","Production","Wood pulp",20500
"5285","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",218
"5287","ASIA (EX. NEAR EAST)","Production","Wood pulp",255000
"5288","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",508000
"5289","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",1
"5290","ASIA (EX. NEAR EAST)","Production","Pulp from fibres other than wood",3020000
"5291","ASIA (EX. NEAR EAST)","Import Quantity","Pulp from fibres other than wood",3917
"5292","ASIA (EX. NEAR EAST)","Export Quantity","Pulp from fibres other than wood",2513
"5293","ASIA (EX. NEAR EAST)","Production","Paper",3700000
"5294","ASIA (EX. NEAR EAST)","Import Quantity","Paper",3183890
"5295","ASIA (EX. NEAR EAST)","Export Quantity","Paper",433
"5296","ASIA (EX. NEAR EAST)","Production","Newsprint",1380000
"5297","ASIA (EX. NEAR EAST)","Import Quantity","Newsprint",1581970
"5298","ASIA (EX. NEAR EAST)","Export Quantity","Newsprint",5792
"5299","ASIA (EX. NEAR EAST)","Production","Paper",4800000
"5300","ASIA (EX. NEAR EAST)","Import Quantity","Paper",903316
"5301","ASIA (EX. NEAR EAST)","Export Quantity","Paper",497105
"5302","ASIA (EX. NEAR EAST)","Production","Paper",1735000
"5303","ASIA (EX. NEAR EAST)","Import Quantity","Paper",13353
"5304","ASIA (EX. NEAR EAST)","Export Quantity","Paper",133522
"5305","ASIA (EX. NEAR EAST)","Production","Paper",2240000
"5306","ASIA (EX. NEAR EAST)","Import Quantity","Paper",174745
"5307","ASIA (EX. NEAR EAST)","Export Quantity","Paper",282276
"5308","ASIA (EX. NEAR EAST)","Production","Paper",825000
"5309","ASIA (EX. NEAR EAST)","Import Quantity","Paper",715218
"5310","ASIA (EX. NEAR EAST)","Export Quantity","Paper",81307
"5311","ASIA (EX. NEAR EAST)","Production","Paper",8781000
"5312","ASIA (EX. NEAR EAST)","Import Quantity","Paper",506096
"5313","ASIA (EX. NEAR EAST)","Export Quantity","Paper",261946
"5314","ASIA (EX. NEAR EAST)","Production","Paper",2e+05
"5315","ASIA (EX. NEAR EAST)","Import Quantity","Paper",8006
"5316","ASIA (EX. NEAR EAST)","Export Quantity","Paper",20432
"5317","ASIA (EX. NEAR EAST)","Production","Paper",7603000
"5318","ASIA (EX. NEAR EAST)","Import Quantity","Paper",479006
"5319","ASIA (EX. NEAR EAST)","Export Quantity","Paper",230185
"5320","ASIA (EX. NEAR EAST)","Production","Case materials",5308000
"5321","ASIA (EX. NEAR EAST)","Import Quantity","Case materials",135828
"5322","ASIA (EX. NEAR EAST)","Export Quantity","Case materials",37306
"5323","ASIA (EX. NEAR EAST)","Production","Cartonboard",2155000
"5324","ASIA (EX. NEAR EAST)","Import Quantity","Cartonboard",131547
"5325","ASIA (EX. NEAR EAST)","Export Quantity","Cartonboard",101385
"5326","ASIA (EX. NEAR EAST)","Production","Paper",140000
"5327","ASIA (EX. NEAR EAST)","Import Quantity","Paper",195942
"5328","ASIA (EX. NEAR EAST)","Export Quantity","Paper",91165
"5329","ASIA (EX. NEAR EAST)","Import Quantity","Paper",15689
"5330","ASIA (EX. NEAR EAST)","Export Quantity","Paper",329
"5331","ASIA (EX. NEAR EAST)","Production","Paper",978000
"5332","ASIA (EX. NEAR EAST)","Import Quantity","Paper",19084
"5333","ASIA (EX. NEAR EAST)","Export Quantity","Paper",11329
"5334","WESTERN EUROPE","Production","Wood fuel",255435
"5335","WESTERN EUROPE","Production","Wood fuel",60929
"5336","WESTERN EUROPE","Import Quantity","Wood fuel",5944
"5337","WESTERN EUROPE","Export Quantity","Wood fuel",1127
"5338","WESTERN EUROPE","Import Quantity","Roundwood",296028
"5339","WESTERN EUROPE","Export Quantity","Roundwood",358712
"5340","WESTERN EUROPE","Import Quantity","Roundwood",408
"5342","WESTERN EUROPE","Import Quantity","Roundwood",10171
"5343","WESTERN EUROPE","Export Quantity","Roundwood",18532
"5344","WESTERN EUROPE","Production","Sawlogs and veneer logs",1732569
"5345","WESTERN EUROPE","Production","Sawlogs and veneer logs",5499
"5346","WESTERN EUROPE","Production","Pulpwood",829765
"5348","WESTERN EUROPE","Production","Roundwood",166226
"5351","WESTERN EUROPE","Import Quantity","Wood fuel",907
"5352","WESTERN EUROPE","Export Quantity","Wood fuel",30
"5353","WESTERN EUROPE","Production","Wood chips and particles",622000
"5354","WESTERN EUROPE","Import Quantity","Wood chips and particles",31630
"5355","WESTERN EUROPE","Export Quantity","Wood chips and particles",7332
"5356","WESTERN EUROPE","Production","Wood residues",218000
"5357","WESTERN EUROPE","Import Quantity","Wood residues",111514
"5358","WESTERN EUROPE","Export Quantity","Wood residues",36910
"5359","WESTERN EUROPE","Production","Wood fuel",48100
"5360","WESTERN EUROPE","Import Quantity","Wood fuel",60400
"5361","WESTERN EUROPE","Export Quantity","Wood fuel",7600
"5363","WESTERN EUROPE","Import Quantity","Other agglomerates",10132
"5364","WESTERN EUROPE","Export Quantity","Other agglomerates",60
"5365","WESTERN EUROPE","Production","Sawnwood",985000
"5366","WESTERN EUROPE","Import Quantity","Sawnwood",214504
"5367","WESTERN EUROPE","Export Quantity","Sawnwood",803025
"5368","WESTERN EUROPE","Production","Sawnwood",1888
"5369","WESTERN EUROPE","Import Quantity","Sawnwood",35897
"5370","WESTERN EUROPE","Export Quantity","Sawnwood",2679
"5372","WESTERN EUROPE","Import Quantity","Veneer sheets",5257
"5373","WESTERN EUROPE","Export Quantity","Veneer sheets",694
"5375","WESTERN EUROPE","Import Quantity","Plywood",58715
"5376","WESTERN EUROPE","Export Quantity","Plywood",85
"5378","WESTERN EUROPE","Import Quantity","Particle board",89051
"5379","WESTERN EUROPE","Export Quantity","Particle board",11064
"5380","WESTERN EUROPE","Production","OSB",284000
"5382","WESTERN EUROPE","Export Quantity","OSB",178356
"5384","WESTERN EUROPE","Import Quantity","Hardboard",18582
"5385","WESTERN EUROPE","Export Quantity","Hardboard",48001
"5386","WESTERN EUROPE","Production","MDF/HDF",420000
"5387","WESTERN EUROPE","Import Quantity","MDF/HDF",62900
"5388","WESTERN EUROPE","Export Quantity","MDF/HDF",402502
"5389","WESTERN EUROPE","Production","Other fibreboard",70000
"5390","WESTERN EUROPE","Import Quantity","Other fibreboard",2200
"5393","WESTERN EUROPE","Import Quantity","Wood pulp",334
"5396","WESTERN EUROPE","Import Quantity","Wood pulp",555
"5397","WESTERN EUROPE","Export Quantity","Wood pulp",3063
"5399","WESTERN EUROPE","Import Quantity","Wood pulp",3590
"5400","WESTERN EUROPE","Export Quantity","Wood pulp",2
"5405","WESTERN EUROPE","Import Quantity","Wood pulp",3525
"5406","WESTERN EUROPE","Export Quantity","Wood pulp",2
"5411","WESTERN EUROPE","Import Quantity","Wood pulp",65
"5414","WESTERN EUROPE","Import Quantity","Wood pulp",41114
"5415","WESTERN EUROPE","Export Quantity","Wood pulp",3
"5417","WESTERN EUROPE","Import Quantity","Pulp from fibres other than wood",555
"5418","WESTERN EUROPE","Export Quantity","Pulp from fibres other than wood",937
"5419","WESTERN EUROPE","Production","Paper",434054
"5420","WESTERN EUROPE","Import Quantity","Paper",6064
"5421","WESTERN EUROPE","Export Quantity","Paper",434504
"5423","WESTERN EUROPE","Import Quantity","Newsprint",50439
"5424","WESTERN EUROPE","Export Quantity","Newsprint",13191
"5426","WESTERN EUROPE","Import Quantity","Paper",140547
"5427","WESTERN EUROPE","Export Quantity","Paper",20729
"5429","WESTERN EUROPE","Import Quantity","Paper",3179
"5430","WESTERN EUROPE","Export Quantity","Paper",649
"5432","WESTERN EUROPE","Import Quantity","Paper",92502
"5433","WESTERN EUROPE","Export Quantity","Paper",7609
